Devices,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
9,3,-1017.96,-4.90647,9696.47,0.145891,-4.13133,-0.357176,3.14E-05,3.10E-06,-4.93E-06,-4.73219,6.03892,67.4564,606.453,846.345,20503.7
9,4,-979.526,-0.849374,9669.28,0.0530829,-3.4205,-0.291891,3.11E-05,2.75E-06,-4.57E-06,-4.71477,6.02652,67.4815,508.525,679.977,18134.3
10,0,-943.02,47.6538,9669.16,-0.362545,-2.7551,-0.365913,3.07E-05,2.21E-06,-4.17E-06,-4.69964,6.01515,67.5149,219.256,-102.36,18257.9
10,1,-972.813,135.297,9697.47,-1.10281,-2.35156,-0.402251,3.04E-05,1.82E-06,-3.93E-06,-4.68723,6.00483,67.5533,98.9149,0,18660
10,2,-1093.86,201.866,9740.72,-2.11065,-2.31071,-0.0935591,3.03E-05,1.69E-06,-4.01E-06,-4.67873,5.99509,67.5945,127.693,-15.8194,17178.1
10,3,-1225.86,189.409,9782.72,-3.26061,-2.46711,0.362703,3.04E-05,1.74E-06,-4.28E-06,-4.67538,5.98428,67.6359,340.513,-74.4903,16422.3
10,4,-1276.98,114.853,9807.68,-4.32693,-2.64011,0.0934458,3.04E-05,1.79E-06,-4.51E-06,-4.67675,5.97055,67.6693,54.0642,-43.472,16652
11,0,-1281.3,101.431,9795.83,-5.20815,-3.01617,-0.36612,3.05E-05,1.89E-06,-4.39E-06,-4.68029,5.95356,67.6943,540.642,1019.01,18740.1
11,1,-1260.31,103.72,9749.33,-5.83133,-3.75104,-0.301607,3.07E-05,2.02E-06,-3.98E-06,-4.68397,5.93193,67.7185,54.0642,12.5697,20297.7
11,2,-1216.62,130.447,9752.33,-6.32104,-4.19247,-0.398219,3.08E-05,2.16E-06,-3.57E-06,-4.68731,5.90735,67.7429,375.069,1097.72,20159.9
11,3,-1227.57,141.906,9750.98,-6.86236,-4.21608,-0.410335,3.08E-05,2.23E-06,-3.65E-06,-4.69269,5.88205,67.768,140.651,167.062,18162.5
