Devices,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
11,1,-7712.25,3831.66,13999.3,-32.8805,-2.39417,-251.856,-1.15E-05,1.81E-05,1.65E-05,27.5793,9.06873,-28.2708,-7667.01,10728.3,23459.3
11,2,-7838.04,4050.53,14242.3,-33.8838,-8.85081,-260.443,-1.15E-05,1.79E-05,1.65E-05,27.3805,9.32079,-29.2808,-7690.55,10208.1,24981.9
11,3,-7816.7,4324.51,14521.3,-34.9323,-15.2283,-267.999,-1.17E-05,1.77E-05,1.65E-05,27.1663,9.55902,-30.3155,-9571.67,11287.4,25252.6
11,4,-7762.59,4653.05,14783.5,-36.4001,-22.0464,-275.445,-1.18E-05,1.75E-05,1.65E-05,26.9347,9.78063,-31.3802,-8249.54,11538.9,24933.3
12,0,-7659.16,5021.2,15088.4,-37.4733,-29.0321,-282.121,-1.19E-05,1.74E-05,1.67E-05,26.6875,9.98311,-32.4748,-7334.33,11365.5,25340.1
12,1,-7480.36,5434.54,15318.2,-39.1102,-36.0642,-287.788,-1.20E-05,1.74E-05,1.69E-05,26.4217,10.166,-33.5959,-8043.99,11703.6,25688.5
12,2,-7185.44,5852.91,15438.7,-41.686,-43.0741,-292.987,-1.21E-05,1.74E-05,1.71E-05,26.1343,10.3298,-34.7415,-7667.71,12183.4,25135.4
12,3,-6778.62,6234.78,15623.2,-44.0783,-49.8575,-297.906,-1.20E-05,1.74E-05,1.72E-05,25.8253,10.4751,-35.9101,-6110.81,12345.5,24901.2
12,4,-6486.56,6711.63,15742.8,-48.2349,-56.7881,-302.245,-1.15E-05,1.72E-05,1.69E-05,25.4882,10.6027,-37.0993,-6234.83,13096.1,25737.3
13,0,-5967.28,7005.93,15908.8,-52.537,-62.4292,-306.159,-1.11E-05,1.71E-05,1.67E-05,25.1237,10.7172,-38.3069,-6378.69,13447.7,26151.8
13,1,-5398.78,7217.49,16159.8,-57.3036,-67.2964,-309.45,-1.07E-05,1.69E-05,1.66E-05,24.7277,10.8206,-39.5303,-5384.41,12113.5,26289.3
13,2,-4894.73,7393.72,16333.8,-62.1836,-70.4628,-312.43,-1.07E-05,1.65E-05,1.68E-05,24.3053,10.9216,-40.7632,-6360.48,12551.5,26465.6
13,3,-4370.24,7601.67,16353.9,-66.6428,-72.9279,-313.951,-1.07E-05,1.61E-05,1.71E-05,23.8586,11.0211,-41.9942,-5512.26,13855.3,27112.7
13,4,-3985.95,7739.06,16526.8,-71.2445,-74.4203,-314.939,-1.08E-05,1.58E-05,1.73E-05,23.3888,11.1225,-43.2242,-4839.92,13753.6,26912.3
14,0,-3591.67,7984.14,16814.3,-75.4983,-75.3471,-314.905,-1.06E-05,1.57E-05,1.75E-05,22.8986,11.2256,-44.4504,-4030.13,13621,26340.1
14,1,-3133.96,8340.09,17146.5,-80.3335,-75.8628,-313.875,-1.04E-05,1.58E-05,1.76E-05,22.3859,11.3329,-45.667,-3560.42,13951.8,27055.3
14,2,-2707.19,8689.57,17446.2,-85.976,-76.1775,-311.877,-1.02E-05,1.58E-05,1.78E-05,21.8489,11.4452,-46.8693,-4187.74,13852.9,28508.5
14,3,-2361.67,9042.02,17561.9,-90.9231,-76.7583,-308.355,-1.00E-05,1.58E-05,1.80E-05,21.2902,11.5594,-48.0541,-4681.91,13693.1,28239.3
14,4,-2106.72,9372.17,17525.8,-96.1676,-77.2064,-304.169,-9.93E-06,1.56E-05,1.83E-05,20.7093,11.6759,-49.2193,-3631.06,14786.8,27414.9
15,0,-1761.1,9613.82,17464,-100.816,-78.3095,-299.322,-9.84E-06,1.54E-05,1.86E-05,20.1077,11.7912,-50.363,-2390.79,13879.3,28220.8
15,1,-1560.95,10104.6,17432.8,-107.515,-78.8208,-293.124,-9.75E-06,1.51E-05,1.89E-05,19.4761,11.9109,-51.4742,-1262.86,16077,26233.7
15,2,-1144.31,10448.2,17232.6,-114.194,-79.3856,-286.658,-9.70E-06,1.50E-05,1.89E-05,18.818,12.0342,-52.5561,-1854.31,17233,27016
15,3,-867.716,10634.1,17078.5,-121.091,-80.0005,-279.687,-9.66E-06,1.48E-05,1.88E-05,18.1326,12.1616,-53.6061,-1239.47,15534.2,27686.7
15,4,-683.773,10873.5,17012.5,-128.629,-81.4841,-271.694,-9.62E-06,1.46E-05,1.88E-05,17.4158,12.2906,-54.6178,-648.313,16357.3,27221.6
16,0,-452.559,11093.8,16955.8,-136.661,-83.1749,-263.057,-9.63E-06,1.44E-05,1.89E-05,16.6663,12.4218,-55.5899,-421.877,17371.8,27268.6
16,1,-208.071,11288.3,16891.4,-144.676,-84.7483,-253.745,-9.68E-06,1.42E-05,1.91E-05,15.885,12.5551,-56.5207,-217.611,16927,27647.9
16,2,74.7121,11460.2,16809.3,-152.215,-86.8712,-243.829,-9.73E-06,1.40E-05,1.92E-05,15.0729,12.6878,-57.4074,37.7758,17135.7,27057.2
16,3,488.909,11519.2,16690.9,-159.207,-89.9245,-233.796,-9.84E-06,1.38E-05,1.94E-05,14.2301,12.8161,-58.2494,193.396,18268.3,26076.7
16,4,708.825,11574.4,16684.2,-166.075,-93.0586,-223.089,-1.01E-05,1.33E-05,1.94E-05,13.3576,12.9394,-59.0457,279.002,15871.1,26418.2
17,0,814.788,11623,16715,-173.3,-97.4051,-212.424,-1.03E-05,1.29E-05,1.94E-05,12.4518,13.0546,-59.7966,-1379.7,16431,27489
17,1,832.873,11614.4,16679.8,-180.802,-102.555,-201.907,-1.05E-05,1.25E-05,1.94E-05,11.5057,13.1591,-60.4958,947.33,19416.1,28477.9
17,2,915.414,11551.7,16623.5,-187.701,-108.618,-192.042,-1.05E-05,1.25E-05,1.94E-05,10.5241,13.2497,-61.1533,1250.23,17378.5,26278.7
17,3,995.158,11570.8,16492.7,-194.7,-114.741,-181.994,-1.05E-05,1.25E-05,1.94E-05,9.50634,13.3274,-61.7671,704.592,18584.7,25964.7
