

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
7,1,-675.658,162.724,9848.38,-1.57235,-0.407204,-0.183599,2.79885e-05,-2.03808e-07,-4.56648e-06,-3.37155,3.76056,97.8565,797.997,690.504,17868.3,-564.159,1651.41,9551.92,-2.30716,-0.706901,-0.760822,-2.21529e-05,2.43843e-06,1.95428e-05,10.4706,-1.39909,-53.4253,23.2646,8090,18524.4
7,2,-775.083,150.724,9761.53,-1.61839,-0.467835,0.247875,2.77633e-05,-4.36748e-07,-4.4753e-06,-3.3711,3.76207,97.8548,520.054,129.094,18912.9,-616.259,1714.07,9587.59,-2.16691,-0.263461,-0.944395,-2.22481e-05,2.0575e-06,1.93047e-05,10.4724,-1.39889,-53.4233,-80.2717,8533.18,17687.1
7,3,-752.582,195.652,9782.54,-1.40893,-0.348615,0.147037,2.75257e-05,-6.64578e-07,-4.38465e-06,-3.36901,3.76385,97.8501,137.096,-377.957,18877.1,-501.397,1682.15,9658.3,-2.29828,0.0152953,-1.01772,-2.23258e-05,1.74685e-06,1.9093e-05,10.4723,-1.40027,-53.4178,-1109.38,6811.22,18504.6
7,4,-666.887,218.047,9795.11,-1.63207,-0.183376,0.0440745,2.72882e-05,-2.64517e-07,-4.57656e-06,-3.36513,3.76465,97.8441,0,82.323,17951.5,-507.264,1695.52,9651.34,-2.17348,0.165212,-1.22996,-2.235e-05,1.65e-06,1.89614e-05,10.4729,-1.40124,-53.4109,-615.621,7673.15,19348.8
8,0,-644.659,182.417,9784.22,-1.91554,0.00714988,-0.154028,2.70506e-05,4.48102e-07,-4.90911e-06,-3.36165,3.76458,97.8383,-724.359,-120.397,17682.3,-560.984,1720.93,9643.27,-2.21071,0.125767,-1.19718,-2.235e-05,1.65e-06,1.88662e-05,10.4743,-1.40147,-53.4038,-659.854,8509.92,19686.2
8,1,-712.211,178.795,9799.37,-1.87489,0.452766,-0.208016,2.68493e-05,1.09554e-06,-5.19821e-06,-3.35957,3.76548,97.839,-1062.66,-442.774,17843.4,-546.262,1735.85,9698.34,-2.02207,-0.0172735,-0.821614,-2.23755e-05,1.65e-06,1.88475e-05,10.4757,-1.40219,-53.3966,-791.825,7886.44,19474
8,2,-795.611,206.215,9821.68,-1.92276,0.821158,-0.0427638,2.68244e-05,1.42533e-06,-5.27555e-06,-3.35888,3.76772,97.8484,-338.496,0,17740.4,-526.809,1720.88,9727.44,-1.68954,-0.0561218,-0.249453,-2.24614e-05,1.65e-06,1.901e-05,10.4765,-1.40297,-53.3895,-81.3127,7623.91,18913.2
8,3,-822.412,152.758,9807.05,-2.40812,0.484777,-0.117286,2.7062e-05,1.28281e-06,-5.03801e-06,-3.35947,3.76944,97.8595,119.015,0,18165.5,-562.713,1651.18,9653.88,-2.07989,0.0151295,0.233222,-2.26043e-05,1.65e-06,1.93433e-05,10.4766,-1.40258,-53.3826,-261.276,8408.96,18407.4
8,4,-809.875,140.521,9839.13,-2.30197,0.295706,-0.0671787,2.72821e-05,1.12113e-06,-4.81789e-06,-3.35999,3.7707,97.8705,569.389,39.6037,19626.6,-501.671,1680.46,9677.17,-1.73303,-0.00775791,-0.231141,-2.27531e-05,1.659e-06,1.96496e-05,10.4766,-1.40354,-53.3755,-339.717,8906.66,17819.1
9,0,-740.023,60.2723,9764.33,-2.19361,0.253947,0.21266,2.73629e-05,8.06215e-07,-4.73707e-06,-3.36048,3.76972,97.8787,338.196,396.037,20009.3,-520.582,1640.98,9690.1,-1.86285,0.388005,-0.580269,-2.295e-05,1.73997e-06,1.974e-05,10.4761,-1.4038,-53.3688,-1397.26,8598.1,19198
9,1,-684.611,176.918,9773.33,-1.59261,0.331894,0.492519,2.71254e-05,1.41103e-07,-4.97461e-06,-3.35796,3.77005,97.8864,-1186.02,-1204.16,16160.8,-580.843,1682.04,9664.84,-2.24433,0.723893,-0.611291,-2.3188e-05,1.88282e-06,1.96448e-05,10.477,-1.40334,-53.3629,-139.726,8864.2,20476.8
9,2,-829.56,93.9317,9782.54,-2.01597,0.0999898,0.287284,2.68879e-05,-5.24008e-07,-5.21215e-06,-3.35987,3.77104,97.8937,1085.5,-728.705,17515.3,-580.151,1709.41,9598.62,-2.1747,0.658004,-0.145361,-2.34261e-05,2.02567e-06,1.95496e-05,10.4787,-1.40331,-53.3572,0,9079.83,19726.2
