

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
8,3,-1390.78,7.01596,9722.48,-2.6229,-2.10357,-0.0808415,2.60417e-05,-3.04582e-06,-4.60418e-06,-6.48148,5.63163,86.6836,338.311,-55.2379,20538.2,2430.4,2496.85,9090.83,-1.32525,-0.510341,0.500658,-2.715e-05,1.245e-05,1.815e-05,-3.13655,-24.0273,-106.192,1668.55,8738.95,18873.9
8,4,-1397.32,-14.9164,9779.39,-2.32286,-1.85953,0.0266432,2.59518e-05,-2.95928e-06,-4.65646e-06,-6.47577,5.62642,86.6755,64.2774,0,19194.9,2481.96,2529.28,9134.78,-1.79163,-0.508619,0.690499,-2.71777e-05,1.24823e-05,1.81454e-05,-3.13574,-24.0281,-106.182,1408.76,8957.31,17422.5
9,0,-1358.36,-41.1527,9680.99,-2.5991,-1.88749,-0.166554,2.59011e-05,-2.55945e-06,-4.7479e-06,-6.47093,5.61948,86.6664,184.273,0,18103.7,2489.97,2513.39,9198.96,-1.59576,0.0184726,0.469687,-2.74265e-05,1.27726e-05,1.81039e-05,-3.13516,-24.0281,-106.172,1171.55,7771.25,20472.5
9,1,-1335.29,5.46605,9741.94,-3.13502,-1.37757,0.28086,2.58537e-05,-2.13297e-06,-4.84267e-06,-6.46833,5.61292,86.6602,-714.243,-732.671,19333.9,2489.62,2604.27,9148.72,-1.70616,0.181547,0.29773,-2.77122e-05,1.31059e-05,1.80563e-05,-3.13331,-24.0305,-106.162,1268.39,8947.88,20419.9
9,2,-1327.89,20.8091,9688.23,-3.86733,-1.6099,0.0842239,2.58233e-05,-1.74052e-06,-4.94085e-06,-6.46711,5.60325,86.6534,120.03,-861.644,19035.6,2489.03,2532.93,9125.42,-1.78296,-0.17894,0.592701,-2.79827e-05,1.34331e-05,1.80087e-05,-3.13353,-24.0315,-106.156,1027.04,8704.3,19546.2
9,3,-1307.55,-121.336,9754.55,-3.91171,-1.41926,-0.23439,2.59644e-05,-1.69111e-06,-5.07333e-06,-6.46858,5.59154,86.6451,332.747,-262.061,18500.7,2522.88,2575.99,9186.85,-1.56097,-0.101726,0.608857,-2.78943e-05,1.36168e-05,1.79611e-05,-3.1338,-24.0335,-106.151,704.478,8409.88,18523.5
9,4,-1284.77,-69.0896,9747.92,-3.88457,-1.8099,-0.184687,2.6154e-05,-1.7385e-06,-5.21549e-06,-6.46734,5.57908,86.6428,256.065,320.981,18817.4,2580.92,2613.68,9218.98,-1.45742,-0.546285,0.0639155,-2.77038e-05,1.37596e-05,1.79135e-05,-3.13481,-24.0366,-106.146,1073.71,9607.06,19063.9
10,0,-1328.79,-23.155,9704.35,-3.5569,-1.99774,-0.127345,2.63191e-05,-1.77978e-06,-5.33934e-06,-6.46519,5.56859,86.6443,7.49497,316.459,18713.3,2530.69,2561.09,9153.36,-1.69833,-0.765987,-0.165089,-2.75027e-05,1.39078e-05,1.78658e-05,-3.13604,-24.0385,-106.144,936.2,9816.55,19234.9
10,1,-1372.24,-93.2206,9698.77,-3.19638,-1.79591,-0.225533,2.64e-05,-1.8e-06,-5.4e-06,-6.46436,5.55915,86.6464,235.179,58.7697,18613.7,2516.96,2507.35,9105.87,-1.89899,-0.509718,-0.0204058,-2.72594e-05,1.40771e-05,1.78182e-05,-3.13843,-24.04,-106.144,967.326,9163.44,19381.2
10,2,-1360.4,-139.428,9739.29,-2.96377,-1.80005,-0.300809,2.64e-05,-1.8e-06,-5.4e-06,-6.46307,5.54958,86.6481,760.77,287.024,19057.7,2609.08,2509.73,9126.22,-1.85347,-0.160616,-0.0720913,-2.69737e-05,1.42676e-05,1.77706e-05,-3.14247,-24.0425,-106.143,1536.67,8905.78,19808.4
10,3,-1370.77,-91.7822,9799.51,-2.34025,-1.99045,-0.258453,2.63839e-05,-1.81613e-06,-5.40807e-06,-6.4585,5.54212,86.6495,382.699,958.092,18670.6,2613.64,2494.08,9098.59,-1.87732,0.332163,-0.261175,-2.6746e-05,1.44387e-05,1.77191e-05,-3.14707,-24.045,-106.145,1025.4,8194.32,18778
10,4,-1368.12,-39.1301,9796.82,-1.70285,-2.01357,-0.100024,2.62983e-05,-1.90173e-06,-5.45087e-06,-6.45097,5.53724,86.6513,-176.904,867.128,17846.3,2677.51,2489.79,9088.86,-1.764,0.936409,-0.10783,-2.67716e-05,1.45254e-05,1.76508e-05,-3.15249,-24.048,-106.15,682.185,7827.7,18630.4
