

Devices
250
,,TS-01874 - accel,,,TS-01874 - gyro,,,TS-01874 - mag,,,TS-01874 - Global Angle,,,TS-01874 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
13,4,-6040.41,-961.622,9364.7,-89.4836,5.58782,-33.3251,-4.14778e-06,-5.66519e-06,1.95489e-05,-11.6041,25.4865,-0.215617,-7400.26,5489.61,18918.8
14,0,-6174.49,-884.07,9389.75,-89.2249,6.73954,-34.3634,-3.90281e-06,-5.49849e-06,1.94193e-05,-11.9739,25.5046,-0.299539,-7736.62,5009.83,19036.4
14,1,-6384.27,-811.125,9441.43,-89.0301,7.73953,-35.7884,-3.91918e-06,-5.47251e-06,1.935e-05,-12.3449,25.5255,-0.386791,-7582.26,4956.37,20057.2
14,2,-6586.38,-675.565,9471.03,-88.7626,8.28356,-37.2132,-4.23582e-06,-5.60821e-06,1.935e-05,-12.7169,25.5475,-0.476122,-7358.11,5544.83,18784.7
14,3,-6668.75,-530.502,9500.79,-88.2769,8.2206,-37.7491,-4.55051e-06,-5.73809e-06,1.93519e-05,-13.0875,25.5687,-0.567262,-7820.83,4560.29,18704
14,4,-6667.25,-396.034,9538.93,-87.4689,7.67731,-38.2515,-4.84934e-06,-5.8204e-06,1.93697e-05,-13.4554,25.5876,-0.661724,-7330.16,4478.82,19533.6
15,0,-6598.71,-361.183,9440,-87.8377,7.57644,-38.7988,-5.07551e-06,-5.6847e-06,1.94602e-05,-13.824,25.6063,-0.762838,-7032.56,5730.63,18197.9
15,1,-6700.02,-226.201,9463.68,-87.5617,6.60047,-39.7747,-5.30167e-06,-5.549e-06,1.95507e-05,-14.1921,25.6204,-0.869034,-6881.9,5832.62,17784.7
15,2,-6594.52,-230.552,9253.93,-87.335,5.77795,-40.5918,-5.46038e-06,-5.49876e-06,1.96321e-05,-14.5601,25.6309,-0.978278,-6036.16,6909.27,18855.7
15,3,-6516.33,-344.288,9285.58,-87.4025,5.18238,-41.2033,-5.14175e-06,-6.05321e-06,1.965e-05,-14.9288,25.6389,-1.08988,-5484.8,5857.21,18831.7
15,4,-6499.09,-396.12,9254.94,-87.2127,5.03527,-41.7403,-4.68914e-06,-6.77738e-06,1.965e-05,-15.2966,25.6466,-1.20679,-5777.07,6907.12,16932.9
16,0,-6449.89,-477.589,9080.81,-86.9372,5.29088,-41.9672,-4.2982e-06,-7.44312e-06,1.96208e-05,-15.66,25.6582,-1.32566,-6528.2,7579.67,17828
16,1,-6322.36,-580.08,8855.51,-86.6072,5.82,-42.0598,-4.28946e-06,-7.74679e-06,1.94105e-05,-16.0028,25.6879,-1.43876,-7064.88,6101.68,19249.7
16,2,-6202.46,-674.454,8720.16,-86.1671,6.48542,-42.2164,-4.69681e-06,-7.65627e-06,1.90032e-05,-16.3244,25.7369,-1.54318,-7467.79,4435.17,18084.1
16,3,-6174.72,-827.859,8719.47,-85.8428,7.16654,-42.4079,-5.09385e-06,-7.57752e-06,1.86091e-05,-16.6477,25.7869,-1.64453,-8003.26,4396.49,17716.3
16,4,-6108.78,-910.204,8626.79,-85.6122,7.90043,-43.169,-5.42478e-06,-7.57433e-06,1.83e-05,-16.972,25.8386,-1.74859,-7318.34,4737.02,18070.8
17,0,-5997.13,-973.649,8521.58,-85.249,8.7608,-43.713,-5.5153e-06,-7.84589e-06,1.83e-05,-17.296,25.892,-1.85612,-5800.92,4520.89,18811.6
17,1,-5887.55,-1092.63,8463.47,-85.5401,10.3831,-44.3405,-5.60582e-06,-8.11746e-06,1.83e-05,-17.623,25.9508,-1.97107,-8111.48,4844.75,19963.7
17,2,-5859.66,-1079.64,8322,-85.344,11.912,-45.5245,-5.65027e-06,-8.38244e-06,1.83527e-05,-17.9491,26.0156,-2.09219,-5883.32,4820.35,18186.8
17,3,-5779.99,-1124.92,8222.75,-84.907,13.8472,-46.447,-5.48285e-06,-8.61715e-06,1.86474e-05,-18.2746,26.0867,-2.21897,-6266.69,4651.38,18658.6
17,4,-5732.76,-1072.33,8199.12,-84.3811,16.2545,-47.1747,-5.25655e-06,-8.84345e-06,1.90095e-05,-18.5961,26.1663,-2.35122,-7193.7,4572.53,17702.9
18,0,-5758.88,-1002.75,8133.12,-84.2483,18.6888,-48.143,-5.05298e-06,-9.0834e-06,1.9267e-05,-18.9162,26.2559,-2.48877,-7205.23,4673.83,17153.1
18,1,-5792.1,-886.593,8029.36,-84.3752,21.0262,-49.2623,-4.95e-06,-9.38369e-06,1.90618e-05,-19.2348,26.3551,-2.63101,-7073.25,5251.77,17381.5
18,2,-5797.28,-733.511,7995.02,-84.6901,23.1375,-50.4851,-4.95e-06,-9.74578e-06,1.83829e-05,-19.5523,26.4618,-2.77792,-6645.31,5971.27,17156.6
18,3,-5890.51,-722.071,8018.72,-85.4806,24.7297,-52.1461,-4.95996e-06,-1.00919e-05,1.77479e-05,-19.8728,26.5751,-2.93052,-5236.25,5884.42,16994.7
18,4,-6189,-748.983,7945.91,-86.0163,26.2832,-53.9003,-5.02497e-06,-1.035e-05,1.7355e-05,-20.1961,26.6987,-3.08916,-6426.37,5394.95,16466.7
19,0,-6298.38,-696.83,7937.75,-86.593,27.7989,-55.6351,-5.25127e-06,-1.035e-05,1.76718e-05,-20.521,26.8289,-3.2541,-8294,5582.12,14987.9
19,1,-6268.33,-792.1,7856.7,-87.5475,29.7271,-57.4926,-5.47757e-06,-1.035e-05,1.79886e-05,-20.8535,26.9658,-3.42666,-6013.31,2751.68,17050.5
19,2,-6351.48,-791.882,7801.71,-88.05,31.1826,-59.4032,-5.67787e-06,-1.04453e-05,1.82188e-05,-21.1892,27.1078,-3.60197,-6614.94,5515.11,16625.5
19,3,-6489.49,-741.756,7761.14,-88.5983,32.148,-61.1561,-5.79207e-06,-1.08564e-05,1.81619e-05,-21.5268,27.2544,-3.78163,-6896.53,5641.22,17750.8
19,4,-6542.97,-784.733,7783.11,-89.0166,32.5441,-62.985,-5.88259e-06,-1.13542e-05,1.80261e-05,-21.867,27.4012,-3.96873,-6325.08,5369.37,17411.7
20,0,-6585.62,-878.747,7733.85,-89.4455,32.7859,-64.8494,-5.93216e-06,-1.17293e-05,1.78786e-05,-22.2105,27.5493,-4.16629,-6428.41,5438.79,17628.2
20,1,-6610.35,-964.956,7674.29,-89.8478,33.0034,-66.5551,-5.84092e-06,-1.16818e-05,1.76909e-05,-22.5571,27.6979,-4.37313,-7119.09,5095.75,18787.6
20,2,-6593.82,-1078.33,7674.81,-89.9942,33.1223,-68.1599,-5.61462e-06,-1.12292e-05,1.74646e-05,-22.9064,27.8452,-4.58708,-7444.92,4350.65,19009.6
20,3,-6596.77,-1254.03,7624.5,-89.7486,33.056,-70.0896,-5.41848e-06,-1.0842e-05,1.72383e-05,-23.2587,27.9906,-4.80938,-7425.65,3979.85,18090.3
20,4,-6540.75,-1381.09,7595.01,-89.0993,32.4306,-72.6437,-5.37318e-06,-1.07816e-05,1.7012e-05,-23.6123,28.1304,-5.04226,-7092.72,3534.66,17507.6
21,0,-6496.11,-1388.38,7589.75,-88.7808,32.5517,-75.0835,-5.69001e-06,-1.15057e-05,1.67857e-05,-23.966,28.2675,-5.28469,-8597.58,1931.01,20082.9
21,1,-6425.82,-1423.86,7576.53,-88.3101,32.2779,-77.0938,-6.00683e-06,-1.22299e-05,1.65594e-05,-24.3199,28.3995,-5.5343,-6136.8,4178.54,17827.5
21,2,-6389.77,-1591.66,7519.35,-87.7406,32.0314,-79.4578,-6.24841e-06,-1.27821e-05,1.63869e-05,-24.6777,28.5269,-5.78944,-7388.84,1947.92,18336.9
21,3,-6380.28,-1643.05,7520.14,-87.002,31.458,-81.6294,-6.3e-06,-1.29e-05,1.635e-05,-25.0344,28.649,-6.05128,-6475.38,3538.08,18909.4
21,4,-6298.83,-1644.58,7506.54,-86.0967,30.7855,-83.697,-6.3e-06,-1.29e-05,1.635e-05,-25.3888,28.7648,-6.32141,-5525.39,4233.69,17531.5
22,0,-6185.82,-1722.21,7474.75,-85.2861,30.1578,-85.5498,-6.32861e-06,-1.29286e-05,1.63786e-05,-25.7425,28.8747,-6.60073,-5472.56,4574.08,17071
22,1,-6068.45,-1820.02,7419.56,-84.5477,29.2376,-87.4523,-6.43768e-06,-1.30377e-05,1.64877e-05,-26.0962,28.9774,-6.88896,-5661.09,4245.68,17090.6
22,2,-5971.06,-1877.64,7334.17,-83.7767,28.031,-89.5418,-6.61873e-06,-1.32187e-05,1.66687e-05,-26.4501,29.0724,-7.18507,-5860.51,3079.78,16304.4
22,3,-5925.82,-1980.81,7242.77,-83.0673,27.1785,-91.4431,-6.76335e-06,-1.3418e-05,1.68134e-05,-26.8046,29.1619,-7.48866,-6176.43,3489.62,16364.5
22,4,-5841.67,-2122.35,7148.28,-82.3722,26.6433,-93.186,-6.73838e-06,-1.3702e-05,1.67884e-05,-27.1603,29.247,-7.80089,-5365.32,4288.27,16398.6
23,0,-5834.72,-2228.68,7034.16,-81.8967,25.8104,-94.907,-6.3763e-06,-1.41546e-05,1.64263e-05,-27.5168,29.3286,-8.12235,-6218.85,4191.02,17528.3
23,1,-5776.26,-2356.5,6990.75,-80.8127,25.0578,-96.3293,-6.01421e-06,-1.46072e-05,1.60642e-05,-27.872,29.4041,-8.45101,-6649.39,4189.14,16926.4
23,2,-5712.55,-2446.58,6852.81,-79.7081,24.3629,-97.5227,-5.99863e-06,-1.49187e-05,1.59203e-05,-28.2268,29.4748,-8.78157,-6595.63,2930.79,16805.3
23,3,-5565.51,-2574.7,6708.75,-78.7724,23.8117,-98.707,-6.67364e-06,-1.49488e-05,1.62112e-05,-28.584,29.5385,-9.11131,-6823.59,1624.99,16416.9
23,4,-5456.8,-2704.33,6617.84,-77.8403,23.2106,-100.16,-7.53359e-06,-1.49035e-05,1.66185e-05,-28.9421,29.596,-9.44449,-6482.62,2268.24,15687.3
24,0,-5359.75,-2793,6547.8,-76.5568,22.6573,-101.549,-8.20753e-06,-1.49851e-05,1.68737e-05,-29.3036,29.6438,-9.78953,-6377.62,3528.54,15547.1
24,1,-5284.12,-2807.37,6469.47,-75.0941,22.2138,-102.768,-8.43892e-06,-1.53684e-05,1.67668e-05,-29.6739,29.6773,-10.1559,-5718.05,4228.29,15951.4
24,2,-5270,-2772.36,6413.19,-73.7358,22.0426,-103.956,-8.30314e-06,-1.6002e-05,1.63594e-05,-30.0503,29.7004,-10.5419,-5396.1,3551.32,16360.3
24,3,-5287.59,-2754.88,6400.74,-72.3287,22.3242,-105.011,-8.18869e-06,-1.65432e-05,1.59876e-05,-30.4221,29.7229,-10.9343,-7266.54,1791.19,16961.5
24,4,-5302.7,-2752.84,6355.43,-70.8112,22.5303,-105.698,-8.16842e-06,-1.66763e-05,1.57728e-05,-30.7893,29.7439,-11.3282,-5894.96,3036.91,17546.5
25,0,-5275.21,-2826.1,6359.67,-69.7559,22.179,-106.522,-8.3042e-06,-1.61332e-05,1.58181e-05,-31.1548,29.7605,-11.7206,-6809.37,1659.41,14717.4
25,1,-5122.5,-2886.14,6373.26,-68.3407,21.8932,-107.603,-8.43998e-06,-1.55901e-05,1.58633e-05,-31.516,29.773,-12.117,-5603.35,1855.83,16784.5
25,2,-5046.88,-2842.59,6329.56,-67.3724,21.5266,-108.79,-8.71002e-06,-1.54049e-05,1.58042e-05,-31.8749,29.7822,-12.5185,-6465.28,3027.15,16599.1
25,3,-4996.08,-2883,6329.2,-66.6167,20.7985,-109.606,-9.19619e-06,-1.57962e-05,1.55769e-05,-32.2317,29.7873,-12.924,-5088.91,1927.91,16333.9
25,4,-4962.75,-3006.11,6326.42,-66.0591,19.8574,-110.697,-9.73931e-06,-1.63393e-05,1.53053e-05,-32.5879,29.7871,-13.3332,-4759.17,2201.11,16528.7
