

Devices
250
,,TS-01902 - accel,,,TS-01902 - gyro,,,TS-01902 - mag,,,TS-01902 - Global Angle,,,TS-01902 - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
10,2,-1421.93,1175.12,8866.65,-10.4639,-30.5921,-3.40718,2.84386e-05,3.04772e-06,-3.85228e-06,-2.34372,8.22798,71.01,-367.803,1330.45,18873.3
10,3,-1405.73,1301.21,8875.06,-11.3438,-33.4401,-3.34774,2.83032e-05,2.82203e-06,-4.07797e-06,-2.2816,8.10299,71.0054,379.595,1549.41,18684.2
10,4,-1426.87,1376.17,9001.09,-12.962,-36.6028,-3.8773,2.81719e-05,2.60045e-06,-4.2972e-06,-2.21648,7.9645,71.0001,-1125.6,1541.45,18602.1
11,0,-1365.84,1425.23,9024.4,-13.8369,-39.6583,-3.57837,2.80735e-05,2.41174e-06,-4.46479e-06,-2.14557,7.81338,70.9987,0,2913.42,16867.4
11,1,-1312.42,1482.12,9158.92,-14.5706,-42.8224,-4.29668,2.8254e-05,2.50201e-06,-4.19397e-06,-2.06733,7.64788,70.995,0,1459.23,18388.6
11,2,-1327.7,1490.75,9286.43,-14.7192,-45.2335,-4.68233,2.84346e-05,2.59228e-06,-3.92315e-06,-1.98413,7.47489,70.9897,0,259.53,17808.1
11,3,-1306.02,1367.17,9337.17,-14.9451,-46.359,-5.12315,2.85974e-05,2.6737e-06,-3.67889e-06,-1.90154,7.29622,70.979,0,1354.56,17262.2
11,4,-1212.75,1362.38,9309.3,-15.3961,-47.0518,-5.71525,2.865e-05,2.7e-06,-3.6e-06,-1.81775,7.11315,70.9646,563.893,1901.82,17740.1
12,0,-1101.91,1397.56,9290.6,-15.6981,-46.7502,-6.32229,2.865e-05,2.7e-06,-3.6e-06,-1.73446,6.92994,70.9479,168.12,939.821,18585.5
12,1,-1008.16,1397.97,9258.16,-15.8249,-45.2659,-6.82862,2.86093e-05,2.6783e-06,-3.59457e-06,-1.65471,6.75074,70.9305,15.9925,-97.9535,18681.7
12,2,-923.646,1415.3,9215.72,-16.0796,-42.9041,-7.46239,2.83226e-05,2.52538e-06,-3.55634e-06,-1.58087,6.57854,70.9122,846.239,259.117,18124.6
12,3,-823.054,1469.8,9231.1,-16.6287,-39.6541,-8.51939,2.76455e-05,2.16428e-06,-3.46607e-06,-1.51524,6.41553,70.8903,503.308,1182.08,18025.4
12,4,-690.522,1492.88,9147.58,-17.349,-35.7099,-9.6522,2.69757e-05,1.81622e-06,-3.38376e-06,-1.46015,6.263,70.8641,58.9713,272.448,18173.3
13,0,-730.674,1507.72,9163.49,-17.2076,-31.6251,-11.1009,2.63638e-05,1.57239e-06,-3.36515e-06,-1.41514,6.12599,70.8308,79.9626,1195.23,17619.8
13,1,-769.306,1540.66,9111.53,-17.4025,-27.1307,-12.852,2.61381e-05,2.02376e-06,-3.77138e-06,-1.38309,6.00742,70.7794,530.227,627.784,18722.3
13,2,-778.83,1592.88,9143.39,-18.5551,-22.5061,-13.9622,2.59124e-05,2.47513e-06,-4.17762e-06,-1.36601,5.90264,70.7226,407.006,112.947,17837.1
13,3,-857.751,1575,9173.21,-19.471,-17.9881,-14.8997,2.57137e-05,2.91573e-06,-4.45995e-06,-1.36466,5.81255,70.6628,675.84,1107.57,18464
13,4,-921.558,1600.06,9251.39,-19.7701,-13.2886,-15.798,2.565e-05,3.3023e-06,-4.12098e-06,-1.37614,5.73956,70.6044,323.847,674.561,18135.3
14,0,-997.11,1716.92,9370.5,-20.3726,-8.75504,-16.9292,2.565e-05,3.6634e-06,-3.48906e-06,-1.39995,5.68313,70.5448,-503.06,1062.96,18064.6
14,1,-1037.27,1852.36,9491.36,-20.791,-4.40363,-17.8092,2.56304e-05,3.95275e-06,-2.92888e-06,-1.4337,5.64284,70.4835,-905.21,1960.59,18914.2
14,2,-1041.67,1965.14,9540.42,-17.8137,0.67521,-18.8077,2.55108e-05,3.87522e-06,-2.73559e-06,-1.46699,5.62973,70.42,-492.05,2347.58,19633.9
14,3,-1070.78,2208.22,9542.77,-5.84986,9.32491,-22.1252,2.524e-05,3.2433e-06,-3.09669e-06,-1.4788,5.67924,70.3444,-189.871,3075.07,19992
14,4,-874.334,2916.61,9981.61,18.7386,25.1773,-27.9592,2.49881e-05,2.61999e-06,-3.45176e-06,-1.44841,5.83824,70.2412,-1186.46,1520.99,21096.4
15,0,-321.908,4486.88,11914.1,38.5523,36.8008,-26.6305,2.48877e-05,2.06557e-06,-3.75861e-06,-1.40271,6.06366,70.1356,956.746,5935.99,21907.4
15,1,-703.59,5063.57,11751,27.0579,38.1194,-24.4089,2.56096e-05,1.88509e-06,-3.80373e-06,-1.40399,6.26311,70.0303,837.409,6190.56,21498.8
15,2,-1436.09,4448.07,11642.1,11.2229,34.0777,-23.4275,2.63316e-05,1.70461e-06,-3.84885e-06,-1.45001,6.40675,69.9296,164.83,4567.84,18964.5
15,3,-2276.6,2742.91,11553,-1.11735,29.3304,-24.0625,2.69463e-05,1.55566e-06,-3.94441e-06,-1.52548,6.5053,69.8281,0,3925.42,21319.2
15,4,-2757.83,988.345,11310.1,-7.5091,25.033,-24.1959,2.71109e-05,1.53909e-06,-4.25179e-06,-1.61071,6.57522,69.7288,-511.035,1530.79,21635.6
16,0,-2870.88,-61.0147,10952,-12.4436,21.5229,-22.2176,2.70658e-05,1.58421e-06,-4.65787e-06,-1.70787,6.62353,69.6399,-425.863,-80.3963,19908.6
16,1,-2793.15,-281,10527.6,-16.6215,17.9929,-18.8272,2.70056e-05,1.63686e-06,-5.00374e-06,-1.82197,6.65977,69.5649,-382.699,11.1543,18982.7
16,2,-2579.46,66.0691,10156.8,-17.9783,14.0342,-15.4275,2.68778e-05,1.72335e-06,-5.07886e-06,-1.93693,6.68996,69.5035,-639.418,370.182,18684.3
16,3,-2270.22,682.269,9967.88,-17.2267,10.5399,-12.5233,2.66522e-05,1.85871e-06,-4.76302e-06,-2.02577,6.7129,69.4545,-107.63,490.691,17478.7
16,4,-2163.9,1372.09,9725.25,-15.7331,7.63146,-10.8111,2.64383e-05,1.98818e-06,-4.44914e-06,-2.08893,6.73646,69.4137,-993.123,60.8211,17736.1
17,0,-2052.13,2163.08,9592.45,-14.9868,5.00014,-10.5556,2.63187e-05,2.07057e-06,-4.15095e-06,-2.12811,6.7605,69.3748,-1451.3,346.644,18062.6
17,1,-1857.5,2180.65,9302.53,-12.3171,2.3236,-10.9956,2.66345e-05,1.93521e-06,-3.92535e-06,-2.14701,6.77842,69.3337,-520.382,1097.18,18798.6
17,2,-1860.43,1948.11,9346.96,-14.0625,-0.278096,-11.9838,2.69504e-05,1.79985e-06,-3.69975e-06,-2.17265,6.77889,69.2893,-83.3893,1501.22,17404.5
17,3,-1915.77,1836,9227.84,-14.5641,-4.07103,-12.8163,2.71661e-05,1.67164e-06,-3.48844e-06,-2.19235,6.76523,69.2421,-106.341,1760.69,17633.5
17,4,-2046.83,1652.03,9375.42,-13.0637,-7.58376,-13.0872,2.7018e-05,1.56942e-06,-3.32913e-06,-2.20297,6.74336,69.1935,-18.5845,1596.09,18105
18,0,-2081.38,1572.62,9390.32,-10.4538,-10.6694,-12.5446,2.67021e-05,1.47918e-06,-3.19377e-06,-2.1982,6.71703,69.1464,-143.434,1285.23,18034.7
18,1,-2079.51,1706.86,9236.92,-8.17348,-13.7742,-11.7843,2.6416e-05,1.42714e-06,-3.1051e-06,-2.17596,6.68752,69.1017,-214.302,1255.25,18078
18,2,-2083.76,1915.42,9213.16,-6.79379,-16.509,-11.2513,2.625e-05,1.52956e-06,-3.20521e-06,-2.13901,6.65458,69.0587,-49.9342,1909.3,19045.5
18,3,-1948.93,2076.97,9301.94,-5.64037,-18.3017,-10.6415,2.625e-05,1.8454e-06,-3.56617e-06,-2.08926,6.61782,69.0168,-314.484,3062.25,20049.2
18,4,-1872.26,2271.51,9462.57,-4.39641,-20.3223,-10.1999,2.62467e-05,2.13922e-06,-3.91502e-06,-2.02596,6.57785,68.9737,-808.131,3093.72,18689.7
19,0,-1744.95,2332.31,9548.48,-3.0099,-21.9994,-9.57952,2.6217e-05,2.25684e-06,-4.16696e-06,-1.95134,6.53393,68.9323,78.3517,1701.8,19213.3
19,1,-1787.34,2481.19,9607.37,-2.40645,-23.376,-10.1365,2.60816e-05,1.67028e-06,-4.0316e-06,-1.86884,6.48902,68.8897,-418.316,2979.63,19351.5
19,2,-1605.2,2597.85,9625.06,-0.725676,-24.9073,-10.961,2.59462e-05,1.08371e-06,-3.89624e-06,-1.77271,6.4408,68.8484,-94.7002,2286.29,19181.3
19,3,-1488.21,2527.61,9804,-3.77079,-26.9906,-12.0315,2.58348e-05,7.0487e-07,-3.80882e-06,-1.68498,6.37324,68.8051,0,2269.28,18521.7
19,4,-1404.26,2395.43,9792.87,-6.93226,-29.1105,-12.877,2.58e-05,9.89415e-07,-3.87448e-06,-1.60445,6.28855,68.7596,-521.19,940.597,18550.4
20,0,-1359.24,2144.66,9707.21,-9.44764,-30.2595,-12.8873,2.58e-05,1.57598e-06,-4.00984e-06,-1.53447,6.19101,68.7133,-827.081,422.993,19503.8
20,1,-1303.8,1863.77,9685.84,-9.24373,-30.5364,-12.1071,2.57905e-05,2.05385e-06,-4.15465e-06,-1.4658,6.09006,68.6641,-471.307,1116.91,19533.8
